customer_tweet_id,customer_clean,brand_response,cluster,intent
2875083,amazon prime package was said to be delivered today by 9pm!!! Its almost 12am,@798163 I'm sorry your package hasn't arrived yet. Can you tell us who the carrier is? If you're unsure you can check here: https://t.co/Y5jpI9gRhE. ^AY,0,delivery_delayed
2075342,"dear service provider ,my product not delivered till now But your agents updated my product it as delivered Resolve this...","@613762 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",0,delivery_not_received
1377425,Item ordered on 8th Oct not yet received. Delivery date was 20th Oct. A Prime customer,@440653 form: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^SC,6,delivery_delayed
1274967,Y a-t-il un moyen d'avoir une adresse de facturation différente de l'adresse de livraison ? Je ne trouve pas de telle option.,"@418446 Bonjour, cela est possible. Sur la page ""vérification et validation de votre commande"". ^FA",4,payment_or_billing
1303674,Queria saber se há previsão para a página de pré-vendas da Amazon Brasil voltar ao normal?,"@424634 Oi Anderson, desde quando apresenta o problema? Já contatou com o nosso SAC ao respeito? ^JD",3,product_information
991845,I ordered a phone that was faulty and to return the product I have been callin the customer care everyday and the no response(1/3),@354946 Apologies for the ordeal. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN,2,return_or_refund
318090,chose to return an item Order# 403- NUM - NUM no one has come to pick up the order and tracker shows something else,@191900 Please don't provide your order details as we consider it personal info.  Our twitter page is visible to public.(2/2)^CB,7,return_or_refund
419839,need help in updating a shipping address. Order has not been shipped yet address needs to be changed to billing address. #urgent,@210354 from the link here: https://t.co/TxK11znixD to assist you further. (2/2)^HR,9,order_status
420016,today I got SMS saying package delivered but I have not received? How can you do that? Pls revert with correct status,@215137 Kindly reach out to our support team here: https://t.co/R3EfhzgU8B. We'll look into it. 2/2 ^PS,11,delivery_not_received
2791945,Gracias 🙌🏻,"@734119 ¡Hola, Aldo! Nos alegra saber que recibiste tu pedido. :D Dinos, ¿cuál de ellos leerás primero? 🤔 ^CR",10,other
2614146,"J'ai effectué une commande le 14 sur Amazon.es, envoyée le lendemain, ça fait trois jours et aucune info de suivi sur votre site et un numéro de tracking qui ne résulte pas. De plus mon cryptogramme ne m'a pas été demandé au payement, chose inquiétante pour les clients réguliers.","@739000 Bonjour, je suis désolée d'apprendre cela. Avez-vous signalé cet incident au service client d'Amazon.es, s'il vous plait ? ^SB",4,payment_or_billing
2397257,"Seriously - unless you ACTUALLY help me, don’t bother. Your form response tweets are only frustrating me more.","@218051 Hi, I'm sorry for the poor experience you've had with this. Can I ask if your order was directly sold by Amazon or if it was sold by one of our Marketplace sellers? We're only able to provide replacements for Amazon sold items, as we don't own the Marketplace stock. ^PJ",9,customer_service_complaint
317939,Are you not AmazonHelp? If can't help me pass my info to someone who can. Avelino Baptista __email__ 781-513- NUM,@191865 We can't access your account or info via Twitter but we're happy to help you through the link ^CO provided above. ^KH,9,account_access
880931,from the past 25 days the issue is escalated 10 times. To whom they are escalating to and who will solve my issue. /2,@329177 Please tell us what went wrong by filling in the details here: https://t.co/GIJyeYqKE0 &amp; we'll help you further. ^BS,8,customer_service_complaint
931508,I think you are not interested to shipped my product and I also don't want to that product amazone you rubbish company service provide,@340984 We apologize for the unpleasant experience. Could you let us know if you've shared your details in the link given? ^ZH,3,delivery_delayed
665624,I am more angry about the appalling service than I am the package being late! Right now I hate Amazon and refuse to purchase from you again!,"@278566 If it doesn't arrive by the end of the day, please reach out to us here: https://t.co/JzP7hlA23B We want to help! ^ZE",11,customer_service_complaint
223869,I hav bought redmi 4 from amazon. But it is not working frequently restarting. Very bad quality.,@169493 I'm sorry for the trouble. Please reach out to us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU,1,product_or_device
2763546,J’en prends note et reviens vers vous au besoin. Merci.,@773063 On reste à votre disposition en cas de besoin. ^AR,4,other
551845,"hi, laptop. I end up not adding the extra items.",@248638 Thanks for the update. Let us know if you run into any more questions. ^MG,3,other
1428933,The same reason was given to me previously also but I had to wait for more 4 days and after that they told to take refund product is lost,@340075 Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll take necessary actions to make things right. 2/2 ^MJ,8,delivery_delayed
2473380,"Ayer, martes 14 de noviembre, en el mail de confirmación salía entre el 11 y el 14, pero en la notificación de producto enviado ponía 14/11","@707231 Comprendo, gracias por la información. ¿Has podido contactar con el transportista sobre esta entrega? ^LG",10,delivery_delayed
942729,- Really? This large box for just a SD card?....,@343483 We're always looking for new ways to improve and would love to document your feedback: https://t.co/kOXEl142LV!  ^WM,5,other
478554,Disgusting just disgusting service 😤😤😤😤😤😤😤😤😖😖😖😖😖😖😖😖,"@228684 We would like to help you. However, we wouldn't be able to access your account on Twitter. Please drop your details in the link shared earlier and we'll get in touch with you soon. ^BV",5,customer_service_complaint
2768997,"Hi, when can we expect cashbacks of Jio recharge (through Amazon Pay) Amazon Pay purchase? Thanks :)","@124791 I understand your concern about the cash back, the cash backs for Jio recharges have already been processed. In case if there are any pending issues, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU",1,payment_or_billing
737159,I have raised a return request 408- NUM - NUM can you check is it refund or replacement?,@192726 order/account details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),7,return_or_refund
514714,"We have received an email saying “item handed direct to customer” Well, nothing has been delivered and as an age restricted item not signed for. So where is it? Not happy!",@238519 I am sorry for the delay in your order Andy! I know how frustrating it can be. Here is some information on that specific issue: https://t.co/iqIqyfJZ2z  ^DJ,0,delivery_not_received
2405159,¡El sonido! Y el color Heather Gray. Tengo un Echo Dot (blanco) en la cocina que amo con locura pero quería uno para el cuarto con mejor sonido. Mi cama es del mismo color gris. Es moderno y elegante. Estoy escuchando (de Puerto Rico) ahora. ¡Gracias!,@119245 ¡Nos alegra que ya estés disfrutando de la buena música! ^AA https://t.co/4fCVMBuyZL,10,other
2276533,I don't want to discuss anymore. I had enough chat session with your agents and they disconnect all chats. I just want my money back. __email__ is my registered email address. Mail me or DM me,"@662105 Apologies! We'd like to look into this. Please drop your details here: https://t.co/beaaDm0muc and we’ll contact you soon. Also, please don't provide your order details, we consider it to be personal information. Our page is visible to public. ^BV",5,return_or_refund
441821,"ORDER # 405- NUM - NUM ,, your courier person fucked my brain.. now what?",@219779 Apologies for the trouble. Kindly connect with us here:https://t.co/vlvfJr4nN9 and we'll check this out for you. ^PB (1/2),7,delivery_failed_or_wrong
1505500,We ordered from amazon.in with order no. 406- NUM - NUM .,"@469402 I request you to contact our support team here: https://t.co/vlvfJr4nN9 &amp; we'll help you. Also, Please don’t provide your order details as we consider them to be personal information. Our Twitter page is visible to public.^BS",7,other
2804276,I've been locked out of my account due to something with my card and I want to make sure my order was cancelled so I won't be charge for the PSN Card I tried to buy,"@782188 I'm sorry for the account trouble! If the order went through, you would have received an e-mail with the redemption code. Otherwise, no orders will be processed while your account is locked. Have you received any e-mails from our Account Specialist? ^BH",3,account_access
2628826,Oui contacté mais... j'ai réceptionné et signé pour le colis et j'ai eu la surprise une fois ouvert. Pour SAV colis réceptionné 😩,"@742457 Il suffit simplement de signaler que le contenu du colis n'est pas le bon, notre SAV ne manquera pas de faire toutes les investigations requises afin d'y remédier.
^KE",4,delivery_failed_or_wrong
1309094,my ord 404- NUM - NUM i get only fake commitment by amzon agent noone comes for pickup.pathetic response from amazon india,@425929 here: https://t.co/beaaDm0muc &amp; we'll assist you right away. Please don't provide your (2/3)^SF,7,return_or_refund
2318091,done.,@672015 We haven't received your details yet. Kindly share your details from your registered Amazon account through the link provided earlier and we'll get back to you soon. ^SY,3,other
2346241,"Bonjour, je n'ai pas reçu mon produit, alors que sur le site il est affiché que je l'ai réceptionné le 16 octobre. J'ai contacter le vendeur et toujours aucune solution de trouver. Commande n° 402- NUM - NUM","@678404 Bonjour, je suis vraiment désolée pour ce désagrément, quand est-ce que vous avez contacté le vendeur ? ^ASZ",4,delivery_not_received
1598917,marketplace - I've just spoken to a member of your team and it's all sorted. Thanks,@491045 Great ! Do reach out to us if we can help further. Have a great day. ^CR,5,other
2504958,No it's vanished from my husbands account. It was odd as it kept saying out for delivery every day and never arrived. I called and spoke to someone and they said it would be delivered but it never arrived. Then I called about the refund and was told it wasn't an Amazon issue,"@714330 As we do not have access to account information in Twitter, please reach out to our team here:  https://t.co/hApLpMlfHN and they will be able to help you further. ^TL",8,delivery_not_received
2154217,This does not solve my problem.MRP means max retail price you cannot charge more than it.Please refund excess charged.,"@632924 I understand that you are concerned about the MRP difference. I've checked the details and I see that the actual price was Rs.840/- but has been provided to you for Rs. 751, which the best price as the sellers determine the prices based on the market changes. ^PR",8,payment_or_billing
718308,"I haven't had an email confirming refund yet but it informed me that I'd be emailed when it's issued, if possible. All I wanted was to cancel the delivery because there's no point them even trying today!","@291986 Hey Sam, I'm sorry! Was the cancellation requested in Your account? ^AT",8,return_or_refund
365608,"3e fois j'commande pour recevoir avant 22h sur 3e fois on me dit ""livré"" alors qu'il y a rien et j'dois contacter le sav","@202604 Bonsoir, il est possible que le colis soit livré peu après 22h. Quelle était la réponse du SAV suite à votre contact ? ^MH",4,delivery_not_received
1868820,"chez vous un mail disant ""nous essayons d'avoir une date de livraison "" mais jamais de vraies nouvelles, jusqu'à aujourd'hui :-x",@558218 Pouvez-vous nous envoyer le lien de cet article ?,4,delivery_delayed
476091,"Package has arrived, thank you!","@228171 Delighted to hear it, thanks for letting us know too, appreciate it. ^NV",11,other
2586322,why does Prime 2 day shipping mean I will get it next Tuesday????,@732845 Hi there! The most accurate delivery is shown on the item page. Two-day Prime shipping is not guarantee that the item will arrive in two-days. This means once the item is ready to  ship we use two-day shipping method to ship the package. ^LH,5,delivery_delayed
327028,Amazon pay failed. Money Deducted Twice from my account and customer care told that deducted transaction is not showing to them.,@193934 Sorry for the hassle Manish. I'll surely pass on your feedback to the concerned team internally. ^HN,2,payment_or_billing
947692,question for you is a product says its sold by someone and Fulfilled by Amazon does that mean that u'll be the ones ship the product,"@344741 When an item is fulfilled by Amazon it's shipped from one of our fulfillment centers, but can ship via various carriers. ^GR",1,product_information
2447102,"Thanks! I've sent an email that will hopefully get the stuff cleared up. I'm thinking it may be with the purchases trying to be charged but my spending limit it low so it might be declined and then just recharged or something. No worries, though, hope it's simple haha!",@701493 Keep us posted! We want to know this was resolved! ^EA,5,payment_or_billing
1424230,"- very bizarre wrong order delivery today.Ordered a dehumidifier, received an old person walking frame/chair! So wrong! Returned",@450937 Sorry to hear that. Have you been sent a replacement for the correct item? ^RS,6,delivery_failed_or_wrong
384538,"changed my account to Amazon Business Prime, but now I can’t buy some items. They say “!This item is unavailable to businesses”",@207045 Hi John - are the items Prime eligible ? ^TD,1,prime_subscription
1273407,Yet again amazon lets me down 😩. Now I’m in a bind. What is amazon prime for when I can’t get my order promptly in two days?,@418071 I'm sorry to hear this! Did we miss the delivery date on a recent order? Check using the link: https://t.co/PCtircFm5C ^GL,1,delivery_delayed
2827997,"I was going to buy one of today's Kindle Daily deals (The Intelligent Investor, Rev. Ed), but it says it's not currently available to purchase. Any idea why not?","@787647 Hi there! I'm sorry that you are unable to purchase this Kindle book, Stuart. There's a list of supported devices in the item's details. Please take a moment to make sure your device is on the list and let us know! ^SP",3,product_information
514658,"I clicked the link but it's concerning unexpected emails so obviously totally irrelevant to my initially contact. Again, I look forward to receiving help. Thanks",@238505 I'm sorry for the trouble! We don't have access to your account information over Twitter. Try this link to reach out to us: https://t.co/zYVX1Qi29G ^LJ,9,fraud_or_security
1072427,I purchased a book and returned in February and my refund not get yet please help,"@373065 Sorry for the wait! With Twitter, we have no access to account info. Please, reach out to us here: https://t.co/hApLpMlfHN ^JE",9,return_or_refund
1450062,Not then £75 and all then sums since December. Just says it'll refund 7.99,@456481 Probably best to speak with us directly via: https://t.co/JzP7hlA23B we can check how much has begun processing for you. ^NV,5,return_or_refund
